Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
1,1,TAM,Jameis Winston\WinsJa00,QB,21,2017,Florida St.
1,2,TEN,Marcus Mariota\MariMa01,QB,21,2017,Oregon
1,3,JAX,Dante Fowler\FowlDa00,OLB,21,2017,Florida
1,4,OAK,Amari Cooper\CoopAm00,WR,21,2017,Alabama
1,5,WAS,Brandon Scherff\ScheBr00,T,23,2017,Iowa
1,6,NYJ,Leonard Williams\WillLe02,DE,21,2017,USC
1,7,CHI,Kevin White\WhitKe00,WR,23,2017,West Virginia
1,8,ATL,Vic Beasley\BeasVi00,OLB,23,2017,Clemson
1,9,NYG,Ereck Flowers\FlowEr00,T,21,2017,Miami (FL)
1,10,STL,Todd Gurley\GurlTo01,RB,21,2017,Georgia
1,11,MIN,Trae Waynes\WaynTr00,CB,23,2017,Michigan St.
1,12,CLE,Danny Shelton\ShelDa01,NT,22,2017,Washington
1,13,NOR,Andrus Peat\PeatAn00,T,21,2017,Stanford
1,14,MIA,DeVante Parker\ParkDe01,WR,22,2017,Louisville
1,15,SDG,Melvin Gordon\GordMe00,RB,22,2017,Wisconsin
1,16,HOU,Kevin Johnson\JohnKe04,CB,23,2017,Wake Forest
1,17,SFO,Arik Armstead\ArmsAr01,DT,21,2017,Oregon
1,18,KAN,Marcus Peters\PeteMa00,CB,22,2017,Washington
1,19,CLE,Cameron Erving\ErviCa00,C,23,2017,Florida St.
1,20,PHI,Nelson Agholor\AghoNe00,WR,22,2017,USC
1,21,CIN,Cedric Ogbuehi\OgbuCe00,T,23,2017,Texas A&M
1,22,PIT,Bud Dupree\DuprAl00,OLB,22,2017,Kentucky
1,23,DEN,Shane Ray\RayxSh00,DE,22,2017,Missouri
1,24,ARI,D.J. Humphries\HumpD.00,T,21,2017,Florida
1,25,CAR,Shaq Thompson\ThomSh01,OLB,21,2017,Washington
1,26,BAL,Breshad Perriman\PerrBr02,WR,22,2017,Central Florida
1,27,DAL,Byron Jones\JoneBy00,CB,23,2017,Connecticut
1,28,DET,Laken Tomlinson\TomlLa01,G,23,2017,Duke
1,29,IND,Phillip Dorsett\DorsPh00,WR,22,2017,Miami (FL)
1,30,GNB,Damarious Randall\RandDa00,FS,23,2017,Arizona St.
1,31,NOR,Stephone Anthony\AnthSt00,ILB,23,2017,Clemson
1,32,NWE,Malcom Brown\BrowMa01,DT,21,2017,Texas
2,33,NYG,Landon Collins\CollLa00,SS,21,2017,Alabama
2,34,TAM,Donovan Smith\SmitDo02,T,22,2017,Penn St.
2,35,OAK,Mario Edwards\EdwaMa01,DT,21,2017,Florida St.
2,36,JAX,T.J. Yeldon\YeldT.00,RB,21,2017,Alabama
2,37,NYJ,Devin Smith\SmitDe04,WR,23,2016,Ohio St.
2,38,WAS,Preston Smith\SmitPr00,DE,22,2017,Mississippi St.
2,39,CHI,Eddie Goldman\GoldEd00,DT,21,2017,Florida St.
2,40,TEN,Dorial Green-Beckham\GreeDo00,WR,22,2016,Oklahoma
2,41,CAR,Devin Funchess\FuncDe00,TE,21,2017,Michigan
2,42,ATL,Jalen Collins\CollJa02,CB,22,2016,LSU
2,43,HOU,Benardrick McKinney\McKiBe00,ILB,22,2017,Mississippi St.
2,44,NOR,Hau'oli Kikaha\KikaHa00,OLB,23,2017,Washington
2,45,MIN,Eric Kendricks\KendEr00,ILB,23,2017,UCLA
2,46,SFO,Jaquiski Tartt\TartJa00,SS,23,2017,Samford
2,47,PHI,Eric Rowe\RoweEr00,CB,22,2017,Utah
2,48,SDG,Denzel Perryman\PerrDe00,ILB,21,2017,Miami (FL)
2,49,KAN,Mitch Morse\MorsMi00,G,23,2017,Missouri
2,50,BUF,Ronald Darby\DarbRo00,CB,21,2017,Florida St.
2,51,CLE,Nate Orchard\OrchNa00,DE,22,2017,Utah
2,52,MIA,Jordan Phillips\PhilJo01,NT,23,2017,Oklahoma
2,53,CIN,Jake Fisher\FishJa00,T,22,2017,Oregon
2,54,DET,Ameer Abdullah\AbduAm00,RB,22,2017,Nebraska
2,55,BAL,Maxx Williams\WillMa04,TE,21,2017,Minnesota
2,56,PIT,Senquez Golson\GolsSe00,CB,22,,Mississippi
2,57,STL,Rob Havenstein\HaveRo00,T,23,2017,Wisconsin
2,58,ARI,Markus Golden\GoldMa00,DE,24,2017,Missouri
2,59,DEN,Ty Sambrailo\SambTy00,T,22,2017,Colorado St.
2,60,DAL,Randy Gregory\GregRa00,OLB,22,2016,Nebraska
2,61,TAM,Ali Marpet\MarpAl00,C,22,2017,Hobart
2,62,GNB,Quinten Rollins\RollQu00,CB,23,2017,Miami (OH)
2,63,SEA,Frank Clark\ClarFr01,DE,22,2017,Michigan
2,64,NWE,Jordan Richards\RichJo00,SS,22,2017,Stanford
3,65,IND,D'Joun Smith\SmitDJ00,CB,23,2016,Florida Atlantic
3,66,TEN,Jeremiah Poutasi\PoutJe00,G,21,2016,Utah
3,67,JAX,A.J. Cann\CannA.00,G,23,2017,South Carolina
3,68,OAK,Clive Walford\WalfCl00,TE,23,2017,Miami (FL)
3,69,SEA,Tyler Lockett\LockTy00,WR,23,2017,Kansas St.
3,70,HOU,Jaelen Strong\StroJa01,WR,21,2017,Arizona St.
3,71,CHI,Hroniss Grasu\GrasHr00,C,24,2017,Oregon
3,72,STL,Jamon Brown\BrowJa04,T,22,2017,Louisville
3,73,ATL,Tevin Coleman\ColeTe01,RB,22,2017,Indiana
3,74,NYG,Owamagbe Odighizuwa\OdigOw00,DE,23,2016,UCLA
