Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
1,1,LAR,Jared Goff\GoffJa00,QB,21,2017,California
1,2,PHI,Carson Wentz\WentCa00,QB,23,2017,North Dakota St.
1,3,SDG,Joey Bosa\BosaJo00,DE,21,2017,Ohio St.
1,4,DAL,Ezekiel Elliott\ElliEz00,RB,21,2017,Ohio St.
1,5,JAX,Jalen Ramsey\RamsJa00,CB,21,2017,Florida St.
1,6,BAL,Ronnie Stanley\StanRo00,T,22,2017,Notre Dame
1,7,SFO,DeForest Buckner\BuckDe00,DE,22,2017,Oregon
1,8,TEN,Jack Conklin\ConkJa00,T,22,2017,Michigan St.
1,9,CHI,Leonard Floyd\FloyLe00,OLB,24,2017,Georgia
1,10,NYG,Eli Apple\ApplEl00,CB,21,2017,Ohio St.
1,11,TAM,Vernon Hargreaves\HargVe00,CB,21,2017,Florida
1,12,NOR,Sheldon Rankins\RankSh00,DT,22,2017,Louisville
1,13,MIA,Laremy Tunsil\TunsLa00,T,22,2017,Mississippi
1,14,OAK,Karl Joseph\JoseKa00,S,23,2017,West Virginia
1,15,CLE,Corey Coleman\ColeCo00,WR,22,2017,Baylor
1,16,DET,Taylor Decker\DeckTa00,T,22,2017,Ohio St.
1,17,ATL,Keanu Neal\NealKe01,SS,21,2017,Florida
1,18,IND,Ryan Kelly\KellRy00,C,23,2017,Alabama
1,19,BUF,Shaq Lawson\LawsSh00,DE,22,2017,Clemson
1,20,NYJ,Darron Lee\LeexDa00,OLB,21,2017,Ohio St.
1,21,HOU,Will Fuller\FullWi01,WR,22,2017,Notre Dame
1,22,WAS,Josh Doctson\DoctJo00,WR,23,2017,TCU
1,23,MIN,Laquon Treadwell\TreaLa00,WR,21,2017,Mississippi
1,24,CIN,William Jackson\JackWi02,CB,23,2017,Houston
1,25,PIT,Artie Burns\BurnAr00,CB,21,2017,Miami (FL)
1,26,DEN,Paxton Lynch\LyncPa00,QB,22,2017,Memphis
1,27,GNB,Kenny Clark\ClarKe01,DT,20,2017,UCLA
1,28,SFO,Joshua Garnett\GarnJo00,G,22,2016,Stanford
1,29,ARI,Robert Nkemdiche\NkemRo00,DT,22,2017,Mississippi
1,30,CAR,Vernon Butler\ButlVe00,DT,22,2017,Louisiana Tech
1,31,SEA,Germain Ifedi\IfedGe00,G,22,2017,Texas A&M
2,32,CLE,Emmanuel Ogbah\OgbaEm00,DE,22,2017,Oklahoma St.
2,33,TEN,Kevin Dodd\DoddKe00,DE,24,2017,Clemson
2,34,DAL,Jaylon Smith\SmitJa05,OLB,21,2017,Notre Dame
2,35,SDG,Hunter Henry\HenrHu00,TE,21,2017,Arkansas
2,36,JAX,Myles Jack\JackMy00,OLB,21,2017,UCLA
2,37,KAN,Chris Jones\JoneCh09,DT,22,2017,Mississippi St.
2,38,MIA,Xavien Howard\HowaXa00,CB,23,2017,Baylor
2,39,TAM,Noah Spence\SpenNo00,DE,22,2017,East. Kentucky
2,40,NYG,Sterling Shepard\ShepSt00,WR,22,2017,Oklahoma
2,41,BUF,Reggie Ragland\RaglRe00,ILB,23,2017,Alabama
2,42,BAL,Kamalei Correa\CorrKa00,DE,22,2017,Boise St.
